                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.84426,                0.44873,                   1.19,                0.99731,                0.99751,                0.99452,                 0.7724,                0.96069,                0.34507,                 1.4279,              0.0039115,              0.0039115,              0.0039115
                    125,                0.84527,                0.44522,                 1.1935,                0.99678,                0.99868,                0.99459,                0.77927,                0.96928,                0.34116,                 1.4362,               0.003862,               0.003862,               0.003862
                    126,                 0.8523,                0.45159,                 1.1903,                0.99779,                0.99868,                0.99477,                0.77933,                0.96352,                0.34131,                 1.4342,              0.0038125,              0.0038125,              0.0038125
                    127,                0.84114,                0.43982,                 1.1941,                0.99772,                0.99771,                0.99445,                0.77078,                0.97522,                0.34765,                 1.4422,               0.003763,               0.003763,               0.003763
                    128,                0.85063,                0.44558,                 1.1984,                0.99367,                0.99651,                0.99486,                0.77845,                0.97008,                0.34508,                 1.4454,              0.0037135,              0.0037135,              0.0037135
                    129,                0.83646,                0.42894,                 1.1838,                0.99636,                0.99719,                0.99444,                0.77557,                0.98157,                   0.35,                 1.4599,               0.003664,               0.003664,               0.003664
                    130,                0.84234,                0.43507,                 1.1893,                0.99713,                0.99868,                0.99496,                0.78691,                0.95015,                0.33751,                 1.4224,              0.0036145,              0.0036145,              0.0036145
                    131,                0.84843,                0.44539,                 1.1872,                0.99634,                0.99736,                0.99422,                0.77761,                0.95267,                   0.34,                 1.4275,               0.003565,               0.003565,               0.003565
                    132,                0.84255,                0.44078,                 1.1943,                0.99728,                0.99841,                0.99465,                0.78032,                0.95699,                0.33628,                 1.4217,              0.0035155,              0.0035155,              0.0035155
                    133,                0.83959,                0.44025,                  1.189,                0.99768,                0.99833,                0.99485,                0.78449,                0.95429,                0.33604,                 1.4189,               0.003466,               0.003466,               0.003466
                    134,                0.82797,                 0.4282,                 1.1836,                 0.9973,                0.99847,                0.99486,                0.77929,                0.96342,                0.33299,                 1.4286,              0.0034165,              0.0034165,              0.0034165
                    135,                0.82964,                0.43526,                 1.1815,                0.99735,                0.99795,                0.99465,                0.78198,                 0.9573,                0.33237,                 1.4333,               0.003367,               0.003367,               0.003367
                    136,                 0.8419,                0.43239,                 1.1944,                0.99602,                0.99759,                0.99471,                0.77615,                0.96017,                0.34113,                 1.4242,              0.0033175,              0.0033175,              0.0033175
                    137,                0.82917,                0.43402,                  1.182,                0.99753,                0.99868,                0.99485,                0.78137,                0.94273,                0.32971,                 1.4121,               0.003268,               0.003268,               0.003268
                    138,                0.82084,                0.42511,                 1.1806,                0.99718,                0.99851,                0.99472,                0.78084,                0.96214,                0.33729,                 1.4337,              0.0032185,              0.0032185,              0.0032185
                    139,                0.82494,                0.43404,                 1.1744,                0.99721,                 0.9982,                0.99485,                0.78141,                0.94919,                0.33184,                 1.4215,               0.003169,               0.003169,               0.003169
                    140,                0.82581,                0.42303,                 1.1761,                0.99781,                 0.9978,                0.99487,                0.77712,                0.95425,                0.33323,                 1.4236,              0.0031195,              0.0031195,              0.0031195
                    141,                0.81576,                 0.4206,                 1.1773,                 0.9962,                0.99719,                0.99486,                0.77669,                0.95739,                0.33884,                 1.4277,                0.00307,                0.00307,                0.00307
                    142,                0.81543,                0.42913,                 1.1717,                0.99607,                 0.9967,                0.99393,                0.77536,                0.95125,                0.33443,                  1.422,              0.0030205,              0.0030205,              0.0030205
                    143,                0.82076,                0.42683,                 1.1759,                0.99561,                0.99681,                0.99473,                0.78068,                0.96102,                0.33769,                 1.4345,               0.002971,               0.002971,               0.002971
                    144,                0.81253,                0.43632,                 1.1749,                0.99646,                 0.9975,                0.99465,                0.77944,                0.95784,                0.34013,                 1.4333,              0.0029215,              0.0029215,              0.0029215
                    145,                0.81292,                0.42333,                 1.1759,                0.99696,                0.99868,                0.99466,                0.77946,                0.96915,                 0.3349,                 1.4353,               0.002872,               0.002872,               0.002872
                    146,                0.80986,                0.41663,                 1.1654,                0.99668,                0.99693,                0.99459,                0.78405,                0.94608,                0.33504,                 1.4175,              0.0028225,              0.0028225,              0.0028225
                    147,                0.81205,                  0.419,                 1.1646,                0.99768,                0.99693,                0.99469,                0.78054,                   0.96,                0.33751,                 1.4406,               0.002773,               0.002773,               0.002773
                    148,                0.81655,                0.42152,                 1.1621,                0.99774,                0.99802,                0.99469,                0.77974,                0.96443,                0.33046,                  1.449,              0.0027235,              0.0027235,              0.0027235
                    149,                0.81116,                0.41833,                   1.17,                0.99732,                0.99777,                0.99472,                0.78238,                 0.9523,                0.33044,                 1.4338,               0.002674,               0.002674,               0.002674
                    150,                 0.7934,                 0.4118,                 1.1602,                 0.9979,                0.99804,                0.99485,                0.78151,                0.95199,                0.32798,                 1.4274,              0.0026245,              0.0026245,              0.0026245
                    151,                0.81064,                0.41933,                 1.1684,                0.99768,                0.99868,                0.99454,                 0.7813,                0.95453,                0.33065,                  1.436,               0.002575,               0.002575,               0.002575
                    152,                0.79981,                0.40723,                 1.1617,                0.99784,                0.99862,                0.99466,                0.78622,                0.95343,                0.32689,                 1.4353,              0.0025255,              0.0025255,              0.0025255
